Song Name,Movie Name,Year,Artists,Overview,Mood,Genre,Crew
"Rowdy Baby","Maari 2",2018,"[Dhanush, Dhee]","A peppy, energetic song with catchy beats celebrating carefree love.",Fun,Pop,"[Yuvan Shankar Raja, Balaji Mohan]"
"Alaporan Tamizhan","Mersal",2017,"[Kailash Kher, Sathya Prakash]","A powerful, celebratory anthem about Tamil pride and unity.",Energetic,Folk,"[A. R. Rahman, Atlee]"
"Vaan","Kaatru Veliyidai",2017,"[Shashaa Tirupati]","A soft, romantic ballad that talks about the beauty of love.",Romantic,Melody,"[A. R. Rahman, Mani Ratnam]"
"Thalli Pogathey","Achcham Yenbadhu Madamaiyada",2016,"[Sid Sriram]","A soul-stirring song expressing the pain of separation.",Melancholic,Melody,"[A. R. Rahman, Gautham Menon]"
"Maruvaarthai","Enai Noki Paayum Thota",2019,"[Sid Sriram]","A deep romantic melody reflecting on love and longing.",Romantic,Melody,"[Darbuka Siva, Gautham Menon]"
"Maya Nadhi","Kabali",2016,"[Ananthu, Pradeep Kumar, Swetha Mohan]","A mellow and emotional track about lost love.",Melancholic,Folk,"[Santhosh Narayanan, Pa. Ranjith]"
"Senjitaley","Remo",2016,"[Anirudh Ravichander]","A playful, energetic track about impressing a loved one.",Fun,Pop,"[Anirudh Ravichander, Bakkiyaraj Kannan]"
"Surviva","Vivegam",2017,"[Yogi B, Anirudh Ravichander]","An upbeat motivational track about survival and resilience.",Energetic,Pop,"[Anirudh Ravichander, Siva]"
"Adiye Azhaga","Oru Naal Koothu",2016,"[Sean Roldan]","A heartwarming romantic melody capturing innocent love.",Romantic,Melody,"[Justin Prabhakaran, Nelson Venkatesan]"
"Yaanji","Vikram Vedha",2017,"[Anirudh Ravichander, Shakthisree Gopalan]","A beautiful, soft melody that explores love and admiration.",Romantic,Melody,"[Sam C. S., Pushkar-Gayathri]"
"Jimikki Kammal","Velipadinte Pusthakam",2017,"[Vineeth Sreenivasan, Renjith Unni]","A fun and catchy song that became a viral sensation.",Fun,Folk,"[Shaan Rahman, Lal Jose]"
"Mudhal Nee Mudivum Nee","Darbar",2020,"[Sid Sriram]","A soothing, romantic track that highlights the beauty of commitment.",Romantic,Melody,"[Anirudh Ravichander, A. R. Murugadoss]"
